id,name,type,username,participants_count,date_added
1104344271,"Не баг, а фича",Channel,bugnotfeature,883805,2025-12-16 19:04:43
1065452260,GitHub repos,Channel,github_repos,26273,2025-12-16 19:04:43
1131189982,Data Science,Channel,datascienceiot,41311,2025-12-16 19:04:43
1441817281,📚Python Books,Channel,pythonlbooks,34728,2025-12-16 19:04:43
1197924174,Artificial Intelligence,Channel,ArtificialIntelligencedl,16480,2025-12-16 19:04:43
2059669976,Violin Classical Music,Channel,violin_classical_music,182,2025-12-16 19:04:43
1343322217,Programming Books & Stuff,Channel,coding_books_pdf,8099,2025-12-16 19:04:43
